AUC,MRR,NDCG@5,NDCG@10
0.8767,0.7066,0.7675,0.7784
0.7111,0.4881,0.5455,0.5912
0.6943,0.4506,0.5174,0.5674
0.5003,0.3157,0.3493,0.434
0.597,0.3774,0.4236,0.4965
0.8815,0.7144,0.7744,0.7844
0.8763,0.7059,0.7668,0.7778
0.863,0.6748,0.7398,0.753
0.5635,0.3616,0.403,0.4787
0.8356,0.6385,0.7061,0.7242
0.8339,0.6386,0.7048,0.7239
0.8253,0.6359,0.6997,0.7206
0.7532,0.5206,0.5904,0.6253
0.5001,0.3156,0.3491,0.4339
0.4998,0.3156,0.3489,0.4338
0.7425,0.505,0.5735,0.6131
0.7403,0.5132,0.5727,0.6131
0.7213,0.4832,0.5542,0.5944
0.6503,0.4308,0.4813,0.543
0.5947,0.3834,0.4283,0.4987
0.5169,0.3292,0.3635,0.4454
0.4999,0.3156,0.349,0.4339
0.8924,0.7327,0.7905,0.7985
0.8922,0.7325,0.7901,0.7983
0.8918,0.7317,0.7895,0.7976
0.8918,0.7316,0.7896,0.7977
0.8917,0.7314,0.7894,0.7975
0.8914,0.7309,0.789,0.7971
0.8904,0.7288,0.7871,0.7955
0.8882,0.7261,0.7849,0.7933
0.8872,0.7251,0.784,0.7923
0.8864,0.7228,0.7827,0.791
0.8851,0.7184,0.7773,0.7872
0.884,0.7181,0.7783,0.7872
0.8838,0.7168,0.7747,0.7849
0.8838,0.7176,0.778,0.7869
0.8824,0.7156,0.7763,0.7853
0.8817,0.7104,0.7699,0.7809
0.881,0.7141,0.774,0.7841
0.8808,0.7132,0.7734,0.7835
0.8806,0.713,0.7731,0.7833
0.879,0.71,0.7704,0.781
0.8784,0.7089,0.7697,0.7802
0.8782,0.7086,0.7694,0.78
0.8773,0.7073,0.7679,0.7788
0.8729,0.7005,0.7621,0.7735
0.8724,0.6999,0.7615,0.773
0.8707,0.7022,0.7626,0.7746
0.8707,0.7022,0.7626,0.7747
0.8705,0.7019,0.7624,0.7744
0.8705,0.7017,0.7621,0.7743
0.8703,0.7017,0.7621,0.7742
0.8703,0.7016,0.7621,0.7742
0.87,0.701,0.7616,0.7737
0.8697,0.7007,0.7612,0.7734
0.8692,0.6984,0.7606,0.7721
0.8692,0.6984,0.7606,0.7721
0.869,0.6998,0.7605,0.7727
0.8689,0.6997,0.7606,0.7728
0.8686,0.6976,0.7597,0.7715
0.8682,0.6959,0.7577,0.77
0.8681,0.6968,0.759,0.7708
0.868,0.6944,0.7566,0.7688
0.8674,0.6941,0.7563,0.7685
0.8667,0.6821,0.7463,0.7588
0.8663,0.6808,0.7453,0.7578
0.8663,0.6935,0.7563,0.7683
0.8662,0.6957,0.7573,0.7697
0.866,0.6934,0.7551,0.7679
0.866,0.6934,0.7551,0.7679
0.8655,0.6893,0.7525,0.7649
0.8653,0.679,0.7439,0.7565
